Test complétion,Résultat
"nb mots prédits : 1 , taille du prefixe : 1",0.5068200829677177
"nb mots prédits : 1 , taille du prefixe : 2",0.703586731993786
"nb mots prédits : 1 , taille du prefixe : 3",0.7978558137152807
"nb mots prédits : 1 , taille du prefixe : 4",0.8393738156614371
"nb mots prédits : 1 , taille du prefixe : 5",0.8672857947658638
"nb mots prédits : 2 , taille du prefixe : 1",0.6281646379978489
"nb mots prédits : 2 , taille du prefixe : 2",0.7974973112313707
"nb mots prédits : 2 , taille du prefixe : 3",0.8789968759069259
"nb mots prédits : 2 , taille du prefixe : 4",0.9090769414616658
"nb mots prédits : 2 , taille du prefixe : 5",0.9262679891424962
"nb mots prédits : 3 , taille du prefixe : 1",0.6854055345954897
"nb mots prédits : 3 , taille du prefixe : 2",0.8402786076446387
"nb mots prédits : 3 , taille du prefixe : 3",0.9083770080406985
"nb mots prédits : 3 , taille du prefixe : 4",0.9316967410417057
"nb mots prédits : 3 , taille du prefixe : 5",0.9417689536848934
"nb mots prédits : 4 , taille du prefixe : 1",0.7231677962340167
"nb mots prédits : 4 , taille du prefixe : 2",0.8663127165952507
"nb mots prédits : 4 , taille du prefixe : 3",0.926302132236202
"nb mots prédits : 4 , taille du prefixe : 4",0.9445345442750568
"nb mots prédits : 4 , taille du prefixe : 5",0.9517558085938167
"nb mots prédits : 5 , taille du prefixe : 1",0.7529576454922581
"nb mots prédits : 5 , taille du prefixe : 2",0.8873277907711218
"nb mots prédits : 5 , taille du prefixe : 3",0.9407788039674275
"nb mots prédits : 5 , taille du prefixe : 4",0.955631049729416
"nb mots prédits : 5 , taille du prefixe : 5",0.9611110162691842
"nb mots prédits : 6 , taille du prefixe : 1",0.7529576454922581
"nb mots prédits : 6 , taille du prefixe : 2",0.8873277907711218
"nb mots prédits : 6 , taille du prefixe : 3",0.9407788039674275
"nb mots prédits : 6 , taille du prefixe : 4",0.955631049729416
"nb mots prédits : 6 , taille du prefixe : 5",0.9611110162691842
"nb mots prédits : 7 , taille du prefixe : 1",0.7529576454922581
"nb mots prédits : 7 , taille du prefixe : 2",0.8873277907711218
"nb mots prédits : 7 , taille du prefixe : 3",0.9407788039674275
"nb mots prédits : 7 , taille du prefixe : 4",0.955631049729416
"nb mots prédits : 7 , taille du prefixe : 5",0.9611110162691842
"nb mots prédits : 8 , taille du prefixe : 1",0.7529576454922581
"nb mots prédits : 8 , taille du prefixe : 2",0.8873277907711218
"nb mots prédits : 8 , taille du prefixe : 3",0.9407788039674275
"nb mots prédits : 8 , taille du prefixe : 4",0.955631049729416
"nb mots prédits : 8 , taille du prefixe : 5",0.9611110162691842
"nb mots prédits : 9 , taille du prefixe : 1",0.7529576454922581
"nb mots prédits : 9 , taille du prefixe : 2",0.8873277907711218
"nb mots prédits : 9 , taille du prefixe : 3",0.9407788039674275
"nb mots prédits : 9 , taille du prefixe : 4",0.955631049729416
"nb mots prédits : 9 , taille du prefixe : 5",0.9611110162691842
"nb mots prédits : 10 , taille du prefixe : 1",0.7529576454922581
"nb mots prédits : 10 , taille du prefixe : 2",0.8873277907711218
"nb mots prédits : 10 , taille du prefixe : 3",0.9407788039674275
"nb mots prédits : 10 , taille du prefixe : 4",0.955631049729416
"nb mots prédits : 10 , taille du prefixe : 5",0.9611110162691842
